nomformation;nb_chars;coefficient_au_sud;departement_code;proportion_candidates;proportion_bien_tb
BTS - Agricole, ENILBIO;14;0.4899123724519447;39;0.48019801980198019802;0.18181818181818182
BTS - Agricole, ENILV;14;0.582885898240476;74;0.50393700787401574803;0
BTS - Agricole, ENILV;14;0.582885898240476;74;0.53164556962025316456;0
BTS - Agricole, ENILV;14;0.582885898240476;74;0.60220994475138121547;0.3333333333333333
BTS - Agricole, ENILV - Georges Pompidou;14;0.7107244961997072;15;0.39193083573487031700;0.0625
BTS - Agricole, ENILV - Georges Pompidou;14;0.7107244961997072;15;0.47107438016528925620;0
BTS - Agricole, ENILV - Georges Pompidou;14;0.7107244961997072;15;0.54918032786885245902;0.3333333333333333
BTS - Agricole, EPL Lyon St Genis Laval - Lycée André Paillot;14;0.6293726611347417;69;0.72699386503067484663;0.05555555555555555
BTS - Agricole, ESA Angers (Angers-49);14;0.4201822281105458;49;0.27860696517412935323;0.23076923076923078
BTS - Agricole, ESA Angers (Angers-49);14;0.4201822281105458;49;0.31481481481481481481;0
BTS - Agricole, ESA Angers (Angers-49);14;0.4201822281105458;49;0.62177650429799426934;0.16666666666666666
BTS - Agricole, ESA Angers (Angers-49);14;0.4201822281105458;49;0.67692307692307692308;0
BTS - Agricole, IET - Institut de l'environnement et des technologies;14;0.6177509704111751;69;0.23076923076923076923;0
BTS - Agricole, IET - Institut de l'environnement et des technologies;14;0.6177509704111751;69;0.45134575569358178054;0.16216216216216217
BTS - Agricole, INEOPOLE FORMATION;14;0.8385630941589385;81;0.41176470588235294118;0.2222222222222222
BTS - Agricole, INEOPOLE FORMATION;14;0.8385630941589385;81;0.75609756097560975610;0.25
BTS - Agricole, Institut agricole de Genech;14;0.059909815679985434;59;0.25388601036269430052;0.24
BTS - Agricole, Institut agricole de Genech;14;0.059909815679985434;59;0.30909090909090909091;0.19230769230769232
BTS - Agricole, Institut agricole de Genech;14;0.059909815679985434;59;0.32526881720430107527;0.20689655172413793
BTS - Agricole, Institut agricole de Genech;14;0.059909815679985434;59;0.36363636363636363636;0.2222222222222222
BTS - Agricole, Institut agricole de Genech;14;0.059909815679985434;59;0.70914127423822714681;0.3793103448275862
BTS - Agricole, Institut Agricole Sandar;14;0.6061292796876093;69;0.17721518987341772152;0
BTS - Agricole, Institut Agricole Sandar;14;0.6061292796876093;69;0.35483870967741935484;0
BTS - Agricole, Institut Agricole Sandar;14;0.6061292796876093;69;0.45967741935483870968;0
BTS - Agricole, Institut Agricole Secondaire Jean Errecart;14;0.8966715477767707;64;0.39062500000000000000;0
BTS - Agricole, Institut Agricole Secondaire Jean Errecart;14;0.8966715477767707;64;0.39130434782608695652;0.14634146341463414
